,Title,Quality,Type,Price,Shipping,Returns
315,The Missing DVD 2-Disc Set COMPLETE WITH CASE & COVER ARTWORK BUY 2 GET 1 FREE,Pre-Owned,DVD,$4.99,Free,Unknown
316,"Sputnik - (NR, DVD, 2021) New DVD, Free Shipping",Brand New,DVD,$21.60,Free,Free
317,DVD Movie Lot Premium! $3 Each (Pick from any list - FREE SHIPPING after 1st),Pre-Owned,Unknown,$3.00,Unknown,Free
318,The Walking Dead: Season 9 (DVD) 9th Ninth Brand New  + Sealed,Brand New,DVD,$13.99,Free,Unknown
319,4-Movie Midnight Marathon Psychos DVD  NEW,Brand New,DVD,$9.35,Free,Unknown
320,HOUSE 2 - THE SECOND STORY NEW DVD,Brand New,DVD,$9.76,Free,Unknown
321,Wishmaster / Wishmaster 2: Evil Never Dies [New DVD],Brand New,DVD,$8.73,Free,Free
322,Ghost Rider (Widescreen Edition) [DVD] NEW!,Brand New,DVD,$5.99,Free,Unknown
323,Insidious: Chapter 3 [DVD] NEW!,Brand New,DVD,$7.99,Free,Unknown
324,"The Crimson Ghost 1946 / Charles Quigley, Linda Stirling  SP EDITION 2 DISC SET",Brand New,DVD,$9.99,Free,Free
325,Street Trash: Special Meltdown Edition [New Blu-ray],Brand New,Blu-ray Disc,$22.01,Free,Free
326,"The Grudge Trilogy DVD Set (Triple Feature, 1 2 3)",Brand New,DVD,$19.99,Free,Unknown
327,Them (1954) Gordon Douglas [DVD] FAST SHIPPING,Brand New,DVD,$4.65,Unknown,Unknown
328,"The Hole (Blu-ray/DVD, 2012, 2-Disc Set) NEW",Brand New,Blu-ray Disc,$7.64,Free,Unknown
329,"Universal Classic Monsters: Complete 30-Film Collection (DVD, 21-Disc) US Seller",Brand New,DVD,$50.00,Unknown,Unknown
330,"The Nun (DVD, 2018) | New!!!",Brand New,DVD,$7.36,Free,Unknown
331,ICE AGENT [DVD],Pre-Owned,DVD,$8.99,Free,Unknown
332,THE LOST BOYS NEW BLU-RAY,Brand New,Blu-ray Disc,$9.01,Free,Unknown
333,Mirrors DVD Alexandre Aja(DIR) 2008,Pre-Owned,DVD,$5.10,Free,Free
334,New ListingDawn Of The Dead Blu-ray 1978 Manufactured On Demand ,Brand New,Blu-ray Disc,$14.50,Unknown,Unknown
335,The Boogens [New Blu-ray] Special Ed,Brand New,Blu-ray Disc,$20.98,Free,Free
336,Stigmata DVD Rupert Wainwright(DIR) 1999,Pre-Owned,DVD,$5.92,Free,Free
337,Colombiana DVD Olivier Megaton(DIR),Pre-Owned,DVD,$4.41,Free,Free
338,The Strangers DVD Scott Speedman NEW,Brand New,DVD,$3.75,Free,Unknown
339,I WAS A TEENAGE WEREWOLF (1957) MICHAEL LANDON 50'S TEEN HORROR,New (Other),DVD,$8.99,Unknown,Unknown
340,Chopping Mall [New DVD],Brand New,DVD,$13.14,Free,Free
341,The Wolfman (2010) Blu-ray Emily Blunt NEW,Brand New,Unknown,$9.35,Free,Unknown
342,"JENNIFER'S BODY  (Blu-ray, 2009) Horror, NO CASE, Read Description Section",Pre-Owned,Blu-ray Disc,$2.49,Unknown,Unknown
343,Embrace of the Vampire DVD 1994,Pre-Owned,DVD,$6.48,Free,Free
344,"The Thing (Collector's Edition) [New Blu-ray] Collector's Ed, Widescre",Brand New,Blu-ray Disc,$24.96,Free,Free
345,The Howling: Reborn [New DVD],Brand New,DVD,$10.50,Free,Free
346,Captain America-The First Avenger DVD Joe Johnston(DIR) 2011,Pre-Owned,DVD,$5.19,Free,Free
347,JOHN CARPENTER'S THE WARD New Sealed Blu-ray,Brand New,Blu-ray Disc,$9.97,Free,Free
348,Fallen DVD Gregory Hoblit(DIR) 1997,Pre-Owned,DVD,$5.22,Free,Free
349,Tales From The Hood 3 [New DVD],Brand New,DVD,$12.33,Free,Free
350,"DVD The Entity (1982) Barbara Hershey, Ron Silver, Sidney J Furie dir.",Brand New,DVD,$19.99,Free,Unknown
351,Something Wicked This Way Comes [New DVD],Brand New,DVD,$13.01,Free,Free
352,"Slither (DVD, 2006, Widescreen) - NEW!!",Brand New,DVD,$4.49,Unknown,Unknown
353,Creepozoids Blu-ray 1987 80s Horror Sci-Fi Movie Retro Full Moon Region Free NEW,Brand New,Blu-ray Disc,$14.95,Free,Unknown
354,218 ACTION and ADVENTURE Movies DVD Lot PICK and CHOOSE Ultimate Selection ,Pre-Owned,Unknown,$4.19,Unknown,Unknown
355,"Pieces (Blu-ray Disc, 2016, 3 Disc Set, 2 Blu-ray + CD)",Brand New,Blu-ray Disc,$27.99,Unknown,Free
356,The Texas Chainsaw Massacre - Special Edition - New,Brand New,DVD,$4.99,Unknown,Free
357,Halloween DVD Jamie Lee Curtis NEW,Brand New,DVD,$7.48,Free,Unknown
358,Yamishibai Japanese Ghost Stories DVD Complete Collection Sealed,Brand New,DVD,$10.95,Free,Free
359,Waxwork / Waxwork II: Lost in Time [New DVD],Brand New,DVD,$9.98,Free,Free
360,THE FOG [SPECIAL EDITION],Pre-Owned,DVD,$4.88,Free,Unknown
361,"The Frighteners [New Blu-ray] Anniversary Ed, Dolby, Digital Theater S",Brand New,Blu-ray Disc,$13.95,Free,Free
362,Unstoppable DVD Tony Scott(DIR) 2010,Pre-Owned,DVD,$5.10,Free,Free
363,Zombieland BLU-RAY Ruben Fleischer(DIR) 2009,Pre-Owned,Blu-ray Disc,$4.82,Free,Free
364,Chucky: Complete 7-Movie Collection DVD Box Set Brand New Free Shipping,Brand New,DVD,$28.75,Free,Free
365,Kolchak - The Night Stalker Complete Series DVD Darren McGavin NEW,Brand New,DVD,$24.99,Free,Unknown
366,LORDS OF CHAOS (2018) Blu-Ray BRAND NEW Free Ship (USA Compatible),Brand New,Blu-ray Disc,$19.99,Free,Free
367,SORRY WRONG NUMBER DVD NEW,Brand New,DVD,$8.19,Free,Unknown
368,The Hills Have Eyes (DVD DISC ONLY) SHIPS FREE & FAST!,Pre-Owned,DVD,$2.88,Free,Unknown
369,"The Exorcist [New DVD] Director's Cut/Ed, Extended Ed, Subtitled, Wide",Brand New,DVD,$9.87,Free,Free
370,MARTIN (1977) Blu-Ray BRAND NEW (Spanish Package/English Audio),Brand New,Blu-ray Disc,$22.99,Free,Free
371,Jennifer - Jennifer [New DVD],Brand New,DVD,$11.72,Free,Free
372,Fallen [New Blu-ray],Brand New,Blu-ray Disc,$17.33,Free,Free
373,STEPHEN KING'S THE STAND THE ORIGINAL 1994 MINI-SERIES New Sealed Blu-ray,Brand New,Blu-ray Disc,$14.54,Free,Free
374,Zombieland DVD Ruben Fleischer(DIR) 2009,Pre-Owned,DVD,$4.08,Free,Free
375,I Bury the Living [New Blu-ray] Widescreen,Brand New,Blu-ray Disc,$12.96,Free,Free
376,TRICK 'R TREAT NEW DVD,Brand New,DVD,$7.81,Free,Unknown
377,4 FILM FAVORITES: SLASHER FILMS COLLECTION (4PC) [DVD],Pre-Owned,DVD,$15.47,Free,Unknown
378,The Ultimate Paranormal Activity Collection [New DVD] Ac-3/Dolby Digit,Brand New,DVD,$13.25,Free,Unknown
379,"4K UHD Slipcovers (4K ONLY!) Buy 3, Get 1 Free!",Pre-Owned,Unknown,$3.00 to $10.00,Unknown,Unknown
380,New: WISH UPON (Director's Unrated Cut) Blu-ray + DVD,Brand New,Unknown,$6.17,Free,Unknown
381,ZOMBEAVERS NEW BLU-RAY DISC,Brand New,Blu-ray Disc,$22.24,Free,Unknown
382,"Contagion (DVD, 2011, Widescreen) NEW",Brand New,DVD,$7.11,Free,Free
383,BLU-RAY Movie Lot $3.75 Pic from any list -FREE SHIPPING after 1st Movie Only $3,New (Other),Unknown,$3.75,Unknown,Free
384,SOCIETY (1989) Blu-Ray Brand New USA Compatible,Brand New,Blu-ray Disc,$21.99,Free,Free
385,The George Sanders Saint Movies Collection [New DVD],Brand New,DVD,$22.29,Free,Free
386,Lake Placid: Legacy [DVD] NEW!,Brand New,Unknown,$8.99,Free,Unknown
387,The Funhouse (Collector's Edition) [New Blu-ray],Brand New,Blu-ray Disc,$19.28,Free,Free
388,Slugs [New DVD],Brand New,DVD,$10.97,Free,Free
389,"Stay Alive [New DVD] Unrated, Widescreen",Brand New,DVD,$7.58,Free,Free
390,Gremlins 2: The New Batch [New DVD],Brand New,DVD,$7.21,Free,Free
391,SiREN DVD Chase Williamson NEW,Brand New,DVD,$9.35,Free,Unknown
392,Thirst,Brand New,DVD,$7.99,Free,Unknown
393,4 FILM FAVORITES CRITTERS COLLECTION New DVD 1 2 3 4,Brand New,DVD,$12.98,Free,Free
394,Stir of Echoes - VERY GOOD,Pre-Owned,Unknown,$4.39,Free,Free
395,"Torso [New DVD] Uncensored, Widescreen",Brand New,DVD,$19.90,Free,Free
396,The Purge Election Year DVD Frank Grillo NEW,Brand New,DVD,$9.35,Free,Unknown
397,"Jennifer's Body [New DVD] Ac-3/Dolby Digital, Dolby, Dubbed, Repackaged, Subti",Brand New,DVD,$8.63,Free,Free
398,Dead End (2003) [New DVD] Dolby,Brand New,DVD,$13.11,Free,Free
399,Bite [New DVD] Widescreen,Brand New,DVD,$14.34,Free,Free
400,The Keep [New DVD] Australia - Import,Brand New,DVD,$16.98,Free,Free
401,Classic & Oldies DVDs - Western Comedy Family Movies **You Pick** **Read**,Pre-Owned,Unknown,$2.19 to $89.99,Unknown,Unknown
402,Another Version Of You [New DVD],Brand New,DVD,$12.41,Free,Free
403,Idle Hands [New DVD],Brand New,DVD,$11.91,Free,Free
404,New ListingYamishibai: Complete Collection - BRAND NEW SEALED DVD 2-Disc Set,Brand New,DVD,$10.75,Free,Unknown
405,"SONY PSP UMD Movies & Games YOU PICK THE TITLE All Brand New, Sealed PlayStation",Brand New,Unknown,$7.95 to $9.95,Free,Unknown
406,The Skeleton Key DVD Iain Softley(DIR) 2005,Pre-Owned,DVD,$5.14,Free,Free
407,Midnight Movie Madness - 50 Movie MegaPack - DVD+Digital,Brand New,DVD,$8.47,Free,Unknown
408,The Slumber Party Massacre [New Blu-ray] Widescreen,Brand New,Blu-ray Disc,$12.96,Free,Free
409,The Taking of Deborah Logan [New Blu-ray],Brand New,Unknown,$18.05,Free,Free
410,Ships 04/15 Dawn of the Dead Box Set (4K UHD Blu-ray 4-Disc Set) New REGION FREE,Brand New,4K UHD Blu-ray Disc,$69.99,Free,Free
411,"Unstoppable [New DVD] Ac-3/Dolby Digital, Dolby, Dubbed, Repackaged, S",Brand New,DVD,$7.33,Free,Free
412,The Vampire Diaries Complete Series DVD Seasons 1-8 (38-Discs Box Set) Free Ship,Brand New,DVD,$54.88,Free,Unknown
413,Jason X DVD James Isaac(DIR) 2002,Pre-Owned,DVD,$5.19,Free,Free
414,"New ListingNew/Sealed""  SLITHER & 4 DEMON HORROR Movies - DEVIL & LONG TIME DEAD ++",Brand New,DVD,$7.95,Unknown,Unknown
415,"The Howling [New DVD] Subtitled, Widescreen",Brand New,DVD,$12.96,Free,Free
416,HALLOWEEN HORROR SALE! Leprechaun: 8-Film Collection [New DVD] Sealed Widescreen,Brand New,DVD,$17.95,Free,Free
417,"Revenge of the Creature (1955) Sci-Fi, Horror Movie on DVD",New (Other),DVD,$11.99,Free,Free
418,"You Pick / Choose HORROR Movies DVD Lot: Slasher, Gore, Halloween NEW Classics",Pre-Owned,Unknown,$3.66 to $23.66,Unknown,Unknown
419,Offerings [New Blu-ray],Brand New,Blu-ray Disc,$18.95,Free,Free
420,SALEM'S LOT New Sealed Blu-ray Complete 1979 TV Miniseries Stephen King,Brand New,Blu-ray Disc,$14.35,Free,Free
421,Movies/DVDs Lots To Choose From #1-6  $1.50-$2.00 each Title,Pre-Owned,Unknown,$1.50 to $1.75,Unknown,Unknown
422,"DVD Movies, YOU PICK / YOUR CHOICE (Combined Shipping) - R, NR, Unrated ",Pre-Owned,Unknown,$2.00,Unknown,Unknown
423,Streets of Fear: 20 Movie Collection [New DVD],Brand New,DVD,$7.91,Free,Free
424,"Assassin's Creed (Blu-ray/DVD/Digital, 2017, 2-Disc Set) NEW",Brand New,Unknown,$7.64,Free,Free
425,I Dismember Mama [New DVD],Brand New,DVD,$19.13,Free,Free
426,*NEW!* LOT of 5 DVDs: ELVIRA'S MOVIE MACABRE - WEREWOLF OF WASHINGTON,Brand New,DVD,$19.98,Free,Unknown
427,The Watcher in the Woods [New DVD],Brand New,DVD,$12.99,Free,Free
428,The Thing BLU-RAY Matthijs Van Heijningen Jr.(DIR) 2011,Pre-Owned,Blu-ray/Dvd,$6.77,Free,Free
429,The Stepfather DVD Nelson McCormick(DIR) 2009,Pre-Owned,DVD,$4.56,Free,Free
430,The Hitcher DVD Dave Meyers(DIR) 2007,Pre-Owned,DVD,$4.76,Free,Free
431,Psycho Collection DVD Anthony Perkins NEW,Brand New,DVD,$16.44,Free,Unknown
432,Lucy (2015) DVD Scarlett Johansson NEW,Brand New,DVD,$3.99,Free,Unknown
433,CARRIE + THE RAGE CARRIE 2 + CARRIE REMAKE New 3 DVD Set Triple Feature,Brand New,DVD,$13.14,Free,Free
434,"Scream 3 Movie Collection [New Blu-ray] 3 Pack, Amaray Case, Subtitled, Widesc",Brand New,Blu-ray Disc,$19.32,Free,Free
435,"Commitment (Blu-ray) (WGU01501B) New, Action Movie, Well Go USA",Brand New,Blu-ray Disc,$13.29,Free,Unknown
436,Die Die Delta Pi [New DVD],Brand New,DVD,$9.98,Free,Free
437,"Aliens [New Blu-ray] Ac-3/Dolby Digital, Digitally Mastered In HD, Dol",Brand New,Unknown,$19.37,Free,Free
438,Amazing Stories: Season One New DVD! Ships Fast!,Brand New,DVD,$15.74,Free,Unknown
439,REPO! THE GENETIC OPERA NEW DVD,Brand New,DVD,$8.49,Free,Unknown
440,"Sargad (2017) Horror, Thriller DVD",New (Other),DVD,$11.99,Free,Free
441,"Revenge of the Creature (1955) Sci-Fi, Horror Movie on DVD",New (Other),DVD,$11.99,Free,Free
442,"Sargad (2017) Horror, Thriller DVD",New (Other),DVD,$11.99,Free,Free
443,NEW Head Of The Family Blu-ray Horror Freaks Mind Control Comedy Mutant Cult 90s,Brand New,Unknown,$14.95,Free,Unknown
444,HOUSE OF 1000 CORPSES (NEW DVD) FREE SHIPPING,Brand New,DVD,$9.24,Free,Free
445,Universal Classic Monsters Complete 30-Film Collection 21 DVD Box Set Sealed New,Brand New,DVD,$53.20,Free,Unknown
446,Saw 8-Film Collection (DVD) BRAND NEW FACTORY SEALED w/ JIGSAW Horror Widescreen,Brand New,DVD,$17.95,Free,Free
447,"The Relic [New DVD] Ac-3/Dolby Digital, Dolby, Dubbed, Subtitled, Wide",Brand New,DVD,$8.38,Free,Free
448,"Sky High (DVD, 2005, 2-Disc Set)",Brand New,DVD,$1.99,Unknown,Unknown
449,"A Quiet Place [New Blu-ray] With DVD, Widescreen, 2 Pack, Digital Thea",Brand New,Unknown,$13.03,Free,Free
450,FRIGHT NIGHT (1985) Blu-Ray Import BRAND NEW Free Ship,Brand New,Blu-ray Disc,$18.99,Free,Free
451,The Hitcher DVD Dave Meyers(DIR) 2007,Pre-Owned,DVD,$4.76,Free,Free
452,The Stepfather DVD Nelson McCormick(DIR) 2009,Pre-Owned,DVD,$4.56,Free,Free
453,LEVIATHAN (1989) Peter Weller [DVD] FAST SHIPPING,Brand New,DVD,$4.95,Unknown,Unknown
454,"Basket Case 3: The Progeny [New Blu-ray] Digital Theater System, Widescreen",Brand New,Blu-ray Disc,$17.83,Free,Free
455,THE HALLOWEEN TREE NEW DVD,Brand New,Unknown,$11.97,Free,Unknown
456,REPO! THE GENETIC OPERA NEW DVD,Brand New,DVD,$8.49,Free,Unknown
457,Drag Me to Hell (Unrated Director's Cut) - DVD - VERY GOOD,Pre-Owned,DVD,$4.35,Free,Free
458,"Leatherface [New DVD] Ac-3/Dolby Digital, Digital Theater System, Wide",Brand New,Unknown,$5.84,Free,Unknown
459,"Wolf (DVD)  Jack Nicholson, Michelle Pfeiffer, James Spader     BRAND NEW",Brand New,DVD,$8.99,Unknown,Unknown
460,Wrong Turn: The Foundation [New Blu-ray],Brand New,Blu-ray Disc,$18.81,Free,Free
461,Blu-ray Lot (BRAND NEW DISC ONLY) $3.99 Each + FAST Combined SHIPPING,Pre-Owned,Unknown,$3.99,Free,Unknown
462,New ListingGODZILLA 1985 (Return Of) New World Pictures U.S. Dub w/Raymond Burr 2 DVD set,New (Other),DVD,$19.99,Free,Unknown
463,Jason X DVD James Isaac(DIR) 2002,Pre-Owned,DVD,$5.19,Free,Free
464,FRIGHT NIGHT (1985) Chris Sarandon Blu-Ray + DVD BRAND NEW Free Ship ,Brand New,Blu-ray Disc,$22.99,Free,Free
465,"Suspiria [New Blu-ray] Digital Copy, Dolby, Subtitled, Widescreen",Brand New,Blu-ray Disc,$21.11,Free,Free
466,Ghost Witch DVD,Pre-Owned,DVD,$9.84,Free,Free
467,"DVDs Movies Pick and Choose from 200+ Horror, Action, Comedy, Drama, Family ",Pre-Owned,Unknown,$1.99,Unknown,Unknown
468,The Hitchhiker Volume 1 (HBO TV Series),Brand New,DVD,$8.99,Free,Unknown
469,I Saw What You Did [New DVD],Brand New,DVD,$9.19,Free,Free
470,Pure Terror: 50 Movies DVD,Brand New,DVD,$10.88,Free,Free
471,(Item #6-HO) THE HITCHHIKER Volume 3 Brand New DVD Set FREE SHIPPING,Brand New,DVD,$14.45,Free,Free
472,TREMORS New Sealed DVD Collector's Edition Kevin Bacon Reba McEntire,Brand New,DVD,$7.33,Free,Free
473,Cult of Chucky DVD Jennifer Tilly NEW,Brand New,DVD,$6.94,Free,Unknown
474,"Terminator Genisys [New DVD] Ac-3/Dolby Digital, Dolby, Dubbed, Subtit",Brand New,DVD,$8.38,Free,Free
475,Freddy vs Jason DVD Ronnie Yu(DIR) 2003,Pre-Owned,DVD,$4.42,Free,Free
476,The Relic (Blu-Ray),Brand New,Blu-ray Disc,$19.55,Free,Free
477,Lady Frankenstein [New DVD],Brand New,DVD,$8.40,Free,Free
478,Hardcore Henry DVD Haley Bennett NEW,Brand New,DVD,$3.75,Free,Unknown
479,Witchcraft (1964) Horror Classic DVD,New (Other),DVD,$11.99,Free,Free
480,The Hills Have Eyes 2 [Unrated Edition],Pre-Owned,Unknown,$3.89,Free,Free
481,Daybreakers BLU-RAY Michael Spierig(DIR) 2009,Pre-Owned,Blu-ray Disc,$5.61,Free,Free
482,"The [Rec] Collection [New Blu-ray] Boxed Set, Widescreen",Brand New,Blu-ray Disc,$49.80,Free,Free
483,Leprechaun 8-Film Collection DVD  NEW,Brand New,DVD,$11.19,Free,Unknown
484,Movies/DVDs Lots To Choose From #3-6 $1.50-$2.00,Pre-Owned,Unknown,$1.50 to $1.75,Unknown,Unknown
485,INSIDIOUS 4 MOVIE COLLECTION New Sealed DVD 1 Chapter 2 3 4 The Last Key,Brand New,DVD,$21.06,Free,Free
486,"Someone's Watching Me! [New Blu-ray] Dubbed, Widescreen",Brand New,Unknown,$22.96,Free,Free
487,Creature from the Black Lagoon Blu-ray Richard Carlson NEW,Brand New,Blu-ray Disc,$13.99,Free,Unknown
488,All Night Horror Movie Marathon: Volume 1 [New DVD],Brand New,DVD,$10.16,Free,Free
489,"Zombieland: Double Tap (Blu-ray Disc, 2019)",Pre-Owned,Blu-ray Disc,$11.50,Free,Unknown
490,"Phantoms/The Faculty (DVD, 2011)  Ben Affleck, Elizah Wood,  Usher Raymond, NEW",Brand New,DVD,$6.99,Unknown,Unknown
491,"In the Mouth of Madness [New Blu-ray] Collector's Ed, Dubbed, Widescre",Brand New,Unknown,$24.96,Free,Free
492,Underworld: Awakening BLU-RAY Bjorn Stein(DIR),Pre-Owned,Blu-ray Disc,$4.58,Free,Free
493,The Hannibal Lecter Collection DVD,Pre-Owned,DVD,$8.33,Free,Free
494,"Constantine: City of Demons - The Movie (Blu-ray Disc/DVD + DIGITAL, 2018) - NEW",Brand New,Blu-ray Disc,$6.49,Unknown,Unknown
495,Embrace of the Vampire [New Blu-ray],Brand New,Blu-ray Disc,$15.45,Free,Free
496,Tower Of Terror,Pre-Owned,DVD,$9.06,Free,Unknown
497,THE KEEP 1983 HD DVD  [NTSC ALL REGIONS] Sci-Fi Movie Scott Glenn Michael,Brand New,DVD,$17.00,Free,Unknown
498,Day of the Dead (Collector's Edition) [New DVD],Brand New,DVD,$12.96,Free,Free
499,The Maze Runner (DVD DISC ONLY) SHIPS FREE & FAST!,Pre-Owned,DVD,$2.48,Free,Unknown
500,Doctor Sleep Blu-Ray w/ Slipcover Stephen King 2 Disc Set Director’s Cut,New (Other),Blu-ray Disc,$6.00,Unknown,Unknown
501,King Cobra [New DVD],Brand New,DVD,$13.97,Free,Free
502,AMONG THE SHADOWS NEW DVD,Brand New,Unknown,$8.69,Free,Unknown
503,Maximum Overdrive - DVD Region 2 Free Shipping!,Brand New,DVD,$13.00,Free,Unknown
504,"Alien Swamp Beast (2013) Horror, Action DVD",New (Other),DVD,$11.99,Free,Free
505,THE LEGEND OF BOGGY CREEK 1972 (Restored & Remastered) BLU-RAY/DVD Combo Package,Brand New,Blu-ray Disc,$29.99,Unknown,Unknown
506,"It: Chapter Two 2 (Blu-ray Disc, 2019) NEW SEALED w/ Slipcover Horror Widescreen",Brand New,Blu-ray Disc,$11.95,Free,Free
507,Dawn of the Dead (Widescreen Unrated Director's Cut) - DVD - GOOD,Pre-Owned,DVD,$3.89,Free,Free
508,Brood Blu-ray 715515159111,Brand New,Blu-ray Disc,$32.32,Free,Free
509,The Exorcist [New DVD] Sealed Ships Free Extended Director's Cut Horror Classic,Brand New,DVD,$9.95,Free,Free
510,"New ListingScouts Guide to the Zombie Apocalypse (Blu-ray/DVD, 2016, 2-Disc Set)",Pre-Owned,DVD,$5.50,Unknown,Unknown
511,Twice Told Tales [New DVD],Brand New,DVD,$12.13,Free,Free
512,Ghosts of Mars DVD John Carpenter(DIR) 2001,Pre-Owned,DVD,$6.01,Free,Free
513,NEW RARE OOP SCREAM FACTORY JEEPERS CREEPERS 1 & 2 DOUBLE FEATURE HORROR BLU RAY,Brand New,Blu-ray Disc,$17.95,Free,Unknown
514,Al Adamson The Masterpiece Collection Blu-ray NO BOOK in Slipcase Brand New,New (Other),Blu-ray Disc,$179.99,Unknown,Free
515,New ListingRabid Collector's Edition (Blu Ray),Brand New,Blu-ray Disc,$25.99,Unknown,Unknown
516,Deranged [New Blu-ray],Brand New,Blu-ray Disc,$22.64,Free,Free
517,The Covenant DVD Renny Harlin(DIR) 2006,Pre-Owned,DVD,$5.06,Free,Free
518,DEADLY FRIEND NEW DVD,Brand New,Unknown,$21.17,Free,Unknown
519,Tourist Trap UNCUT Blu-ray Box Set + Action Figure 70s Horror Movie NEW,Brand New,Blu-ray Disc,$36.00,Free,Unknown
520,HALLOWEEN HORROR SALE! Stephen King's The Stand DVD [2 Discs] New Sealed Widescr,Brand New,DVD,$9.97,Free,Free
521,HELTER SKELTER New Sealed DVD 1976,Brand New,DVD,$19.97,Free,Free
522,NEW RARE OOP DANIELLE HARRIS HATCHET 3 III UNCUT UNRATED HORROR MOVIE BLU RAY,Brand New,Blu-ray Disc,$14.95,Free,Unknown
523,"The Nun [New DVD] Full Frame, Subtitled, Ac-3/Dolby Digital, Dolby, Du",Brand New,DVD,$7.57,Free,Free
524,"Shrieker (DVD, 2003) Sealed #27",Brand New,DVD,$8.14,Free,Unknown
525,Nosferatu the Vampyre [New Blu-ray],Brand New,Blu-ray Disc,$12.96,Free,Free
526,Drag Me to Hell Blu-ray Alison Lohman NEW,Brand New,Blu-ray Disc,$9.35,Free,Unknown
527,"Hell Night [New Blu-ray] Collector's Ed, Subtitled, Widescreen",Brand New,Blu-ray Disc,$24.96,Free,Free
528,"Terror Train [New DVD] Full Frame, Widescreen",Brand New,DVD,$10.30,Free,Free
529,Huge BluRay Movies Lot - ALL BRAND NEW SEALED - Pick & Choose Your Own - DVD,Brand New,Unknown,$2.99 to $16.99,Unknown,Unknown
530,Van Helsing DVD Hugh Jackman NEW,Brand New,DVD,$8.16,Free,Unknown
531,"Ghost Rider (DVD, 2007, Widescreen Edition)",New (Other),DVD,$3.99,Free,Free
532,Dinoshark [New DVD],Brand New,DVD,$10.64,Free,Free
533,Embrace of the Vampire [New DVD],Brand New,DVD,$11.29,Free,Free
534,"House On Haunted Hill (DVD)(2000)- Geoffrey Rush, Famke Janssen, Taye Diggs",Pre-Owned,DVD,$5.26,Free,Free
535,Super 8 (DVD DISC ONLY) SHIPS FREE & FAST!,Pre-Owned,DVD,$2.98,Free,Unknown
536,Project: Metalbeast [New DVD],Brand New,DVD,$12.80,Free,Free
537,28 Days Later... / 28 Weeks Later [New Blu-ray] Widescreen,Brand New,Blu-ray Disc,$12.44,Free,Free
538,The Birds Blu-ray Rod Taylor NEW,Brand New,Blu-ray Disc,$13.99,Free,Unknown
539,VARIOUS BLU-RAY HORROR MOVIES FREE SHIPPING BUY MORE AND SAVE! UPDATED 3/12/21,New (Other),Unknown,$6.00 to $9.00,Free,Unknown
540,"Sherlock: Series Seasons 1-4: The Abominable Bride (DVD, 2017, 9-Disc Set)",Brand New,DVD,$25.99,Free,Free
541,A Good Day to Die Hard DVD John Moore(DIR),Pre-Owned,DVD,$4.67,Free,Free
542,Blu-ray Lot #1 (BRAND NEW DISC ONLY) $3.99 Each +FREE & FAST Combined SHIPPING,Pre-Owned,Unknown,$3.99,Unknown,Unknown
543,BLADE The Iron Cross Puppet Master Cult Classic Horror Blu-ray 1080p Movie NEW,Brand New,Blu-ray Disc,$14.95,Free,Unknown
544,"Pet Sematary (30th Anniversary) [New Blu-ray] Anniversary Ed, Digital",Brand New,Blu-ray Disc,$10.86,Free,Free
545,New ListingPumpkinhead - DVD - Horror - Lance Henriksen - Collector's Edition - New,Brand New,DVD,$11.00,Free,Unknown
546,4K UHD Movies - Current Titles - Pick & Choose (4K UHD Disc) NEW & FAST SHIPPING,New (Other),Unknown,$7.95 to $14.99,Unknown,Unknown
547,"Unstoppable (DVD, 2010 Widescreen) NEW",Brand New,DVD,$7.25,Free,Free
548,"Cabin Fever [New Blu-ray] Dolby, Digital Theater System, Subtitled, Wi",Brand New,Blu-ray Disc,$11.31,Free,Free
549,New ListingIT: CHAPTER TWO 2 [NEW BLU-RAY + DVD] NO SLIPCOVER NEW,Brand New,Blu-ray Disc,$10.99,Free,Free
550,PSYCHO GOREMAN DVD-LIKE NEW-FREE SHIPPING-READ DESCRIPTION,New (Other),DVD,$13.99,Free,Unknown
551,"Mimic: 3-Movie Collection [New Blu-ray] 2 Pack, Amaray Case, Subtitled, Widesc",Brand New,Unknown,$17.18,Free,Free
552,Tales From the Crypt Presents: Demon Knight [New Blu-ray] Collector's,Brand New,Blu-ray Disc,$22.96,Free,Free
553,Mandy,Pre-Owned,Unknown,$10.12,Free,Unknown
554,DOOM ASYLUM (1987) Blu-Ray BRAND NEW Free Ship,Brand New,Blu-ray Disc,$22.99,Free,Free
555,"New ListingDevil (Blu-ray Disc, 2010)",Pre-Owned,Blu-ray Disc,$5.60,Unknown,Unknown
556,New ListingThe Phantom Empire Blu ray*Retromedia*80's Classic*2K Transfer*Sealed/NEW*,Brand New,Blu-ray Disc,$32.00,Unknown,Unknown
557,"Hannibal (DVD, 2001, 2-Disc Set, Special Edition) NEW",Brand New,DVD,$5.86,Free,Free
558,"Alone (DVD, 2020)",Pre-Owned,DVD,$12.00,Free,Unknown
559,The Mortal Instruments: City of Bones DVD Harald Zwart(DIR) 2013,Pre-Owned,DVD,$4.39,Free,Free
560,"Horror Collection Come Play with Us 17 Movies (DVD, 4-Disc, Puppet Master) NEW",Brand New,DVD,$9.99,Free,Unknown
561,Marauders [New DVD],Brand New,DVD,$8.98,Free,Free
562,"The Toxic Avenger - The Toxic Avenger [New Blu-ray] With DVD, Widescre",Brand New,Blu-ray Disc,$19.49,Free,Free
